id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-01A	Colombo North	LK	LK-1	LK-11	EC-01	EC-01A	[6.962235, 79.86993]	131012
EC-01B	Colombo Central	LK	LK-1	LK-11	EC-01	EC-01B	[6.934929, 79.856677]	192211
EC-01C	Borella	LK	LK-1	LK-11	EC-01	EC-01C	[6.91746, 79.872949]	89806
EC-01D	Colombo East	LK	LK-1	LK-11	EC-01	EC-01D	[6.891251, 79.876399]	93260
EC-01E	Colombo West	LK	LK-1	LK-11	EC-01	EC-01E	[6.891531, 79.858535]	54682
EC-01F	Dehiwala	LK	LK-1	LK-11	EC-01	EC-01F	[6.858394, 79.87567]	88962
EC-01G	Ratmalana	LK	LK-1	LK-11	EC-01	EC-01G	[6.82708, 79.878567]	95506
EC-01H	Kolonnawa	LK	LK-1	LK-11	EC-01	EC-01H	[6.934458, 79.915733]	191687
EC-01I	Kotte	LK	LK-1	LK-11	EC-01	EC-01I	[6.891056, 79.898758]	107883
EC-01J	Kaduwela	LK	LK-1	LK-11	EC-01	EC-01J	[6.903622, 79.978318]	252041
EC-01K	Avissawella	LK	LK-1	LK-11	EC-01	EC-01K	[6.891039, 80.142393]	164510
EC-01L	Homagama	LK	LK-1	LK-11	EC-01	EC-01L	[6.831278, 80.022395]	252469
EC-01M	Maharagama	LK	LK-1	LK-11	EC-01	EC-01M	[6.856942, 79.942632]	196423
EC-01N	Kesbewa	LK	LK-1	LK-11	EC-01	EC-01N	[6.803476, 79.928354]	245232
EC-01O	Moratuwa	LK	LK-1	LK-11	EC-01	EC-01O	[6.782673, 79.891096]	168280
EC-02A	Wattala	LK	LK-1	LK-12	EC-02	EC-02A	[7.035439, 79.880814]	175525
EC-02B	Negombo	LK	LK-1	LK-12	EC-02	EC-02B	[7.213224, 79.844835]	142136
EC-02C	Katana	LK	LK-1	LK-12	EC-02	EC-02C	[7.194279, 79.889599]	235291
EC-02D	Divulapitiya	LK	LK-1	LK-12	EC-02	EC-02D	[7.254006, 80.007356]	144506
EC-02E	Mirigama	LK	LK-1	LK-12	EC-02	EC-02E	[7.224957, 80.123625]	164580
EC-02F	Minuwangoda	LK	LK-1	LK-12	EC-02	EC-02F	[7.154861, 79.978706]	178331
EC-02G	Attanagalla	LK	LK-1	LK-12	EC-02	EC-02G	[7.114604, 80.110002]	179565
EC-02H	Gampaha	LK	LK-1	LK-12	EC-02	EC-02H	[7.071002, 79.993324]	197667
EC-02I	Ja Ela	LK	LK-1	LK-12	EC-02	EC-02I	[7.071664, 79.908897]	201521
EC-02J	Mahara	LK	LK-1	LK-12	EC-02	EC-02J	[7.02963, 80.015565]	207782
EC-02K	Dompe	LK	LK-1	LK-12	EC-02	EC-02K	[6.990666, 80.099049]	154005
EC-02L	Biyagama	LK	LK-1	LK-12	EC-02	EC-02L	[6.968969, 79.978067]	186585
EC-02M	Kelaniya	LK	LK-1	LK-12	EC-02	EC-02M	[6.970155, 79.90985]	137339
EC-03A	Panadura	LK	LK-1	LK-13	EC-03	EC-03A	[6.711914, 79.919933]	160089
EC-03B	Bandaragama	LK	LK-1	LK-13	EC-03	EC-03B	[6.686217, 80.004368]	183608
EC-03C	Horana	LK	LK-1	LK-13	EC-03	EC-03C	[6.759268, 80.099489]	167260
EC-03D	Bulathsinhala	LK	LK-1	LK-13	EC-03	EC-03D	[6.640496, 80.157085]	109739
EC-03E	Mathugama	LK	LK-1	LK-13	EC-03	EC-03E	[6.525255, 80.070802]	145246
EC-03F	Kalutara	LK	LK-1	LK-13	EC-03	EC-03F	[6.618521, 79.971825]	159697
EC-03G	Beruwala	LK	LK-1	LK-13	EC-03	EC-03G	[6.489022, 80.004868]	164969
EC-03H	Agalawatta	LK	LK-1	LK-13	EC-03	EC-03H	[6.467121, 80.2304]	131340
EC-04A	Galagedara	LK	LK-2	LK-21	EC-04	EC-04A	[7.34677, 80.495324]	67628
EC-04B	Harispattuwa	LK	LK-2	LK-21	EC-04	EC-04B	[7.37241, 80.585265]	207752
EC-04C	Pathadumbara	LK	LK-2	LK-21	EC-04	EC-04C	[7.388783, 80.713419]	113136
EC-04D	Ududumbara	LK	LK-2	LK-21	EC-04	EC-04D	[7.33789, 80.910664]	74388
EC-04E	Teldeniya	LK	LK-2	LK-21	EC-04	EC-04E	[7.302596, 80.800277]	61034
EC-04F	Kundasale	LK	LK-2	LK-21	EC-04	EC-04F	[7.305342, 80.709708]	127070
EC-04G	Hewaheta	LK	LK-2	LK-21	EC-04	EC-04G	[7.21207, 80.704519]	88533
EC-04H	Senkadagala	LK	LK-2	LK-21	EC-04	EC-04H	[7.269523, 80.643348]	112393
EC-04I	Mahanuwara	LK	LK-2	LK-21	EC-04	EC-04I	[7.288539, 80.618867]	49787
EC-04J	Yatinuwara	LK	LK-2	LK-21	EC-04	EC-04J	[7.282447, 80.538114]	106027
EC-04K	Udunuwara	LK	LK-2	LK-21	EC-04	EC-04K	[7.222983, 80.560215]	110905
EC-04L	Gampola	LK	LK-2	LK-21	EC-04	EC-04L	[7.153548, 80.629243]	132286
EC-04M	Nawalapitiya	LK	LK-2	LK-21	EC-04	EC-04M	[7.06116, 80.532713]	124443
EC-05A	Dambulla	LK	LK-2	LK-22	EC-05	EC-05A	[7.823941, 80.665985]	171913
EC-05B	Laggala	LK	LK-2	LK-22	EC-05	EC-05B	[7.607381, 80.807426]	88131
EC-05C	Matale	LK	LK-2	LK-22	EC-05	EC-05C	[7.544056, 80.610297]	107677
EC-05D	Rattota	LK	LK-2	LK-22	EC-05	EC-05D	[7.461793, 80.665728]	116810
EC-06A	Nuwara Eliya Maskeliya	LK	LK-2	LK-23	EC-06	EC-06A	[6.885491, 80.650661]	417817
EC-06B	Kothmale	LK	LK-2	LK-23	EC-06	EC-06B	[7.039129, 80.65528]	101180
EC-06C	Hanguranketha	LK	LK-2	LK-23	EC-06	EC-06C	[7.119636, 80.777991]	88528
EC-06D	Walapane	LK	LK-2	LK-23	EC-06	EC-06D	[7.093551, 80.886836]	104119
EC-07A	Balapitiya	LK	LK-3	LK-31	EC-07	EC-07A	[6.314061, 80.051154]	67432
EC-07B	Ambalangoda	LK	LK-3	LK-31	EC-07	EC-07B	[6.191177, 80.123624]	91315
EC-07C	Karandeniya	LK	LK-3	LK-31	EC-07	EC-07C	[6.264315, 80.131275]	92659
EC-07D	Bentara Elpitiya	LK	LK-3	LK-31	EC-07	EC-07D	[6.32222, 80.146459]	116143
EC-07E	Hiniduma	LK	LK-3	LK-31	EC-07	EC-07E	[6.299962, 80.340152]	129339
EC-07F	Baddegama	LK	LK-3	LK-31	EC-07	EC-07F	[6.141244, 80.314073]	124988
EC-07G	Ratgama	LK	LK-3	LK-31	EC-07	EC-07G	[6.140297, 80.122818]	104333
EC-07H	Galle	LK	LK-3	LK-31	EC-07	EC-07H	[6.053681, 80.208368]	101749
EC-07I	Akmeemana	LK	LK-3	LK-31	EC-07	EC-07I	[6.066631, 80.263555]	128107
EC-07J	Habaraduwa	LK	LK-3	LK-31	EC-07	EC-07J	[6.01886, 80.341107]	107269
EC-08A	Deniyaya	LK	LK-3	LK-32	EC-08	EC-08A	[6.291855, 80.525059]	134150
EC-08B	Hakmana	LK	LK-3	LK-32	EC-08	EC-08B	[6.183644, 80.601014]	114414
EC-08C	Akuressa	LK	LK-3	LK-32	EC-08	EC-08C	[6.110655, 80.466611]	120072
EC-08D	Kamburupitiya	LK	LK-3	LK-32	EC-08	EC-08D	[6.044447, 80.587873]	101741
EC-08E	Devinuwara	LK	LK-3	LK-32	EC-08	EC-08E	[5.981211, 80.648936]	102925
EC-08F	Matara	LK	LK-3	LK-32	EC-08	EC-08F	[5.962922, 80.561951]	115805
EC-08G	Weligama	LK	LK-3	LK-32	EC-08	EC-08G	[5.997751, 80.440634]	124941
EC-09A	Mulkirigala	LK	LK-3	LK-33	EC-09	EC-09A	[6.215419, 80.721227]	126950
EC-09B	Beliatta	LK	LK-3	LK-33	EC-09	EC-09B	[6.074447, 80.728771]	97910
EC-09C	Tangalle	LK	LK-3	LK-33	EC-09	EC-09C	[6.145659, 80.882956]	156392
EC-09D	Thissamaharama	LK	LK-3	LK-33	EC-09	EC-09D	[6.319463, 81.267946]	218651
EC-10A	Kayts	LK	LK-4	LK-41	EC-10	EC-10A	[9.641668, 80.075586]	72726
EC-10B	Vaddukoddai	LK	LK-4	LK-41	EC-10	EC-10B	[9.743405, 79.927797]	65023
EC-10C	Kankesanthurai	LK	LK-4	LK-41	EC-10	EC-10C	[9.789495, 79.977871]	10003
EC-10D	Manipay	LK	LK-4	LK-41	EC-10	EC-10D	[9.731574, 80.007296]	82501
EC-10E	Kopay	LK	LK-4	LK-41	EC-10	EC-10E	[9.741001, 80.091743]	76997
EC-10F	Udupiddy	LK	LK-4	LK-41	EC-10	EC-10F	[9.781486, 80.181857]	51768
EC-10G	Point Pedro	LK	LK-4	LK-41	EC-10	EC-10G	[9.806473, 80.232465]	41527
EC-10H	Chavakachcheri	LK	LK-4	LK-41	EC-10	EC-10H	[9.673115, 80.191063]	64704
EC-10I	Nallur	LK	LK-4	LK-41	EC-10	EC-10I	[9.66806, 80.048869]	68142
EC-10J	Jaffna	LK	LK-4	LK-41	EC-10	EC-10J	[9.663053, 80.021509]	50491
EC-10K	Kilinochchi	LK	LK-4	LK-45	EC-10	EC-10K	[9.415768, 80.30362]	113510
EC-11A	Mannar	LK	LK-4	LK-42	EC-11	EC-11A	[8.87747, 80.08878]	99570
EC-11B	Vavuniya	LK	LK-4	LK-43	EC-11	EC-11B	[8.852089, 80.467385]	172060
EC-11C	Mullaitivu	LK	LK-4	LK-44	EC-11	EC-11C	[9.167644, 80.549049]	92193
EC-12A	Kalkudah	LK	LK-5	LK-51	EC-12	EC-12A	[7.920682, 81.400081]	162149
EC-12B	Batticaloa	LK	LK-5	LK-51	EC-12	EC-12B	[7.655067, 81.562821]	242663
EC-12C	Paddiruppu	LK	LK-5	LK-51	EC-12	EC-12C	[7.52904, 81.695862]	121755
EC-13A	Ampara	LK	LK-5	LK-52	EC-13	EC-13A	[7.478421, 81.372614]	221771
EC-13B	Samanthurai	LK	LK-5	LK-52	EC-13	EC-13B	[7.321574, 81.759066]	114791
EC-13C	Kalmunai	LK	LK-5	LK-52	EC-13	EC-13C	[7.413089, 81.821285]	99893
EC-13D	Pothuvil	LK	LK-5	LK-52	EC-13	EC-13D	[6.946545, 81.722303]	212947
EC-14A	Seruvila	LK	LK-5	LK-53	EC-14	EC-14A	[8.509998, 81.066797]	103849
EC-14B	Trincomalee	LK	LK-5	LK-53	EC-14	EC-14B	[8.747446, 81.078198]	134252
EC-14C	Muttur	LK	LK-5	LK-53	EC-14	EC-14C	[8.433609, 81.217209]	141440
EC-15A	Galgamuwa	LK	LK-6	LK-61	EC-15	EC-15A	[8.00859, 80.287881]	127763
EC-15B	Nikaweratiya	LK	LK-6	LK-61	EC-15	EC-15B	[7.777289, 80.103407]	119583
EC-15C	Yapahuwa	LK	LK-6	LK-61	EC-15	EC-15C	[7.808596, 80.334647]	141010
EC-15D	Hiriyala	LK	LK-6	LK-61	EC-15	EC-15D	[7.633611, 80.43063]	125098
EC-15E	Wariyapola	LK	LK-6	LK-61	EC-15	EC-15E	[7.621638, 80.244193]	97642
EC-15F	Panduwasnuwara	LK	LK-6	LK-61	EC-15	EC-15F	[7.584056, 80.101992]	96128
EC-15G	Bingiriya	LK	LK-6	LK-61	EC-15	EC-15G	[7.559372, 79.960851]	114580
EC-15H	Katugampola	LK	LK-6	LK-61	EC-15	EC-15H	[7.36268, 80.031353]	124225
EC-15I	Kuliyapitiya	LK	LK-6	LK-61	EC-15	EC-15I	[7.471782, 80.101415]	131378
EC-15J	Dambadeniya	LK	LK-6	LK-61	EC-15	EC-15J	[7.360358, 80.206567]	119946
EC-15K	Polgahawela	LK	LK-6	LK-61	EC-15	EC-15K	[7.418582, 80.291438]	99495
EC-15L	Kurunegala	LK	LK-6	LK-61	EC-15	EC-15L	[7.531705, 80.341851]	115017
EC-15M	Mawathagama	LK	LK-6	LK-61	EC-15	EC-15M	[7.442512, 80.422309]	116708
EC-15N	Dodangaslanda	LK	LK-6	LK-61	EC-15	EC-15N	[7.517394, 80.518851]	88714
EC-16A	Puttalam	LK	LK-6	LK-62	EC-16	EC-16A	[8.22588, 79.866191]	220047
EC-16B	Anamaduwa	LK	LK-6	LK-62	EC-16	EC-16B	[7.988051, 79.969676]	147182
EC-16C	Chilaw	LK	LK-6	LK-62	EC-16	EC-16C	[7.609861, 79.850415]	151434
EC-16D	Nattandiya	LK	LK-6	LK-62	EC-16	EC-16D	[7.425416, 79.862468]	113223
EC-16E	Wennappuwa	LK	LK-6	LK-62	EC-16	EC-16E	[7.322127, 79.887986]	130510
EC-17A	Medawachchiya	LK	LK-7	LK-71	EC-17	EC-17A	[8.668942, 80.637716]	117151
EC-17B	Horowpothana	LK	LK-7	LK-71	EC-17	EC-17B	[8.454571, 80.803617]	110279
EC-17C	Anuradhapura East	LK	LK-7	LK-71	EC-17	EC-17C	[8.336616, 80.501804]	137668
EC-17D	Anuradhapura West	LK	LK-7	LK-71	EC-17	EC-17D	[8.419972, 80.199524]	140272
EC-17E	Kalawewa	LK	LK-7	LK-71	EC-17	EC-17E	[8.123238, 80.355077]	160127
EC-17F	Mihinthale	LK	LK-7	LK-71	EC-17	EC-17F	[8.205648, 80.548059]	85760
EC-17G	Kekirawa	LK	LK-7	LK-71	EC-17	EC-17G	[8.014734, 80.620402]	109318
EC-18A	Minneriya	LK	LK-7	LK-72	EC-18	EC-18A	[8.01009, 80.862194]	108204
EC-18B	Medirigiriya	LK	LK-7	LK-72	EC-18	EC-18B	[8.151189, 81.054657]	102027
EC-18C	Polonnaruwa	LK	LK-7	LK-72	EC-18	EC-18C	[7.905334, 81.126219]	195857
EC-19A	Mahiyanganaya	LK	LK-8	LK-81	EC-19	EC-19A	[7.368985, 81.102436]	127394
EC-19B	Viyaluwa	LK	LK-8	LK-81	EC-19	EC-19B	[7.108953, 81.035499]	65365
EC-19C	Passara	LK	LK-8	LK-81	EC-19	EC-19C	[7.002477, 81.168463]	80188
EC-19D	Badulla	LK	LK-8	LK-81	EC-19	EC-19D	[6.986231, 81.088857]	75042
EC-19E	Hali Ela	LK	LK-8	LK-81	EC-19	EC-19E	[6.945038, 81.020139]	90571
EC-19F	Uva Paranagama	LK	LK-8	LK-81	EC-19	EC-19F	[6.966606, 80.917512]	77998
EC-19G	Welimada	LK	LK-8	LK-81	EC-19	EC-19G	[6.859631, 80.881415]	102802
EC-19H	Bandarawela	LK	LK-8	LK-81	EC-19	EC-19H	[6.852904, 81.043051]	110683
EC-19I	Haputale	LK	LK-8	LK-81	EC-19	EC-19I	[6.713969, 80.964235]	85362
EC-20A	Bibile	LK	LK-8	LK-82	EC-20	EC-20A	[7.151579, 81.362595]	107448
EC-20B	Monaragala	LK	LK-8	LK-82	EC-20	EC-20B	[6.850236, 81.449425]	143663
EC-20C	Wellawaya	LK	LK-8	LK-82	EC-20	EC-20C	[6.555976, 81.186622]	199947
EC-21A	Eheliyagoda	LK	LK-9	LK-91	EC-21	EC-21A	[6.81452, 80.263063]	135158
EC-21B	Ratnapura	LK	LK-9	LK-91	EC-21	EC-21B	[6.760541, 80.412951]	156785
EC-21C	Pelmadulla	LK	LK-9	LK-91	EC-21	EC-21C	[6.670695, 80.524483]	111240
EC-21D	Balangoda	LK	LK-9	LK-91	EC-21	EC-21D	[6.670533, 80.753365]	141040
EC-21E	Rakwana	LK	LK-9	LK-91	EC-21	EC-21E	[6.539142, 80.68667]	134039
EC-21F	Nivithigala	LK	LK-9	LK-91	EC-21	EC-21F	[6.5763, 80.468603]	138256
EC-21G	Kalawana	LK	LK-9	LK-91	EC-21	EC-21G	[6.524955, 80.402512]	90822
EC-21H	Kolonna	LK	LK-9	LK-91	EC-21	EC-21H	[6.365973, 80.771709]	180667
EC-22A	Dedigama	LK	LK-9	LK-92	EC-22	EC-22A	[7.203734, 80.231718]	113056
EC-22B	Galigamuwa	LK	LK-9	LK-92	EC-22	EC-22B	[7.203313, 80.309805]	84968
EC-22C	Kegalle	LK	LK-9	LK-92	EC-22	EC-22C	[7.213223, 80.366712]	88998
EC-22D	Rambukkana	LK	LK-9	LK-92	EC-22	EC-22D	[7.323122, 80.386388]	82769
EC-22E	Mawanella	LK	LK-9	LK-92	EC-22	EC-22E	[7.22692, 80.47364]	119029
EC-22F	Aranayaka	LK	LK-9	LK-92	EC-22	EC-22F	[7.161628, 80.439771]	63018
EC-22G	Yatiyanthota	LK	LK-9	LK-92	EC-22	EC-22G	[7.050784, 80.367372]	97713
EC-22H	Ruwanwella	LK	LK-9	LK-92	EC-22	EC-22H	[7.042469, 80.227654]	99127
EC-22I	Deraniyagala	LK	LK-9	LK-92	EC-22	EC-22I	[6.911245, 80.360729]	91970
